CERN - 2018-02-22 11:04:06	subject Field	concept definition	concept source	Concept create by user	Concept create date	Concept modified by user	Concept modified date	Lang	Term Status	Term Form	Term definition	Term create by user	Term create date	Term modified by user	Term modified date
_1	Electronics/Electricity			John	2005-01-19	Odile Martin	2008-01-30	EN-GB	p	portable electronics crate		super	2007-01-09	super	2007-01-09
_1	Electronics/Electricity			John	2005-01-19	Odile Martin	2008-01-30	FR	p	châssis valise		super	2007-01-09	super	2007-01-09
_2	Accelerator technology			John	2005-01-19	Odile Martin	2007-01-17	EN-GB	p	mole		super	2007-01-09	super	2007-01-09
_2	Accelerator technology			John	2005-01-19	Odile Martin	2007-01-17	EN-GB	p	magnetic field probe		super	2007-01-09	super	2007-01-09
_2	Accelerator technology			John	2005-01-19	Odile Martin	2007-01-17	FR	p	taupe	Appareil de mesure magnétique des aimants dipolaires du LHC. Procédure de mesure magnétique des dipôles LHC (AT-MTM-FM).	super	2007-01-09	super	2007-01-09
_3	Bodies/organisations			Natalie	2005-01-19	Natalie Garde	2009-01-13	EN-GB	p	Global Science Forum		super	2007-01-09	super	2007-01-09
_3	Bodies/organisations			Natalie	2005-01-19	Natalie Garde	2009-01-13	EN-GB	p	GSF		super	2007-01-09	super	2007-01-09
_3	Bodies/organisations			Natalie	2005-01-19	Natalie Garde	2009-01-13	FR	p	Forum mondial de la science	Lieu de dialogue entre hauts responsable de la politique scientifique des pays membres de l'OCDE. D'après site Web de l'OCDE (Qu'est-ce que le Forum mondial de la science?).	super	2007-01-09	super	2007-01-09
_3	Bodies/organisations			Natalie	2005-01-19	Natalie Garde	2009-01-13	FR	p	GSF		super	2007-01-09	super	2007-01-09
_4	Accelerator technology			John	2005-01-19	Odile Martin	2013-01-29	EN-GB	p	bus bar	Main cable that carries the current for powering the magnets outside the magnet coil. LHC Design Report, vol. 1, 2004, chap. 2, p. 6	super	2007-01-09	super	2007-01-09
_4	Accelerator technology			John	2005-01-19	Odile Martin	2013-01-29	EN-GB	p	busbar					
_4	Accelerator technology			John	2005-01-19	Odile Martin	2013-01-29	FR	p	jeu de barres		super	2007-01-09	super	2007-01-09
_4	Accelerator technology			John	2005-01-19	Odile Martin	2013-01-29	FR	p	barre omnibus	Conducteur de faible impédance auquel peuvent être reliés plusieurs circuits électriques en des points séparés. IEC - Commission Electrotechnique Internationale, IEV number 151-12-30	super	2007-01-09	super	2007-01-09
_5	Accelerator technology			John	2005-01-19	Natalie	2006-01-10	EN-GB	p	fine blanking	The operation of punching, cutting, or shearing a piece out of stock to a predetermined shape. Termium.	super	2007-01-09	super	2007-01-09
